no,title,link
0," 충남 공공하수처리장, 코로나19 등 바이러스 1218건 검출 ",http://v.daum.net/v/20241209105828421
1, 충남 공공하수 감염병바이러스 검출률 35%…노로·코로나19 계속 ,http://v.daum.net/v/20241209100909036
2," ""올 겨울 코로나19 주 최대 20만명 수준 유행""…의료부담 우려 ",http://v.daum.net/v/20241206115904321
3, 코로나19에 5년 가까이 운영 중단됐던 이곳 16일 재개장 ,http://v.daum.net/v/20241209114603140
4," 코로나19 재유행 막아라…정부, 코로나19 협력병원 재가동 ",http://v.daum.net/v/20241206105006159
5, 버스터미널 발길 ‘뚝’… 코로나 전 60% 수준 ,http://v.daum.net/v/20241208190921280
6," 광명시, 16일 '도심공항터미널' 재개장…코로나 사태 후 4년 만에 ",http://v.daum.net/v/20241209132425286
7, 코로나로 문닫은 KTX광명역 도심공항터미널 16일 운영 재개 ,http://v.daum.net/v/20241209102428748
8," '오징어게임2' 황동혁 ""코로나 이후 주식, 코인 열풍, 젊은 세대의 문제 담고 싶었다"" ",http://v.daum.net/v/20241209123610229
9," 미 하원 보고서 “코로나19, 우한 실험실서 나왔을 가능성 매우 커” ",http://v.daum.net/v/20241203164438596
10, 개인 투자자 비중 높은 코스닥…계엄·탄핵 정국에 '코로나 수준' 회귀 ,http://v.daum.net/v/20241209115652683
11," ‘만성 코로나 증후군‘ 십대, 열 중 셋은 2년 후에도 회복 안 돼 ",http://v.daum.net/v/20241206100656102
12, “연말 장사 준비 중인데”…코로나·고금리에 이어 ‘정치’까지 자영업자 덮친다 ,http://v.daum.net/v/20241207070017982
13, 코로나19 다 끝났다? 독감보다 치명적 ,http://v.daum.net/v/20241128120853733
14," ""코로나, 재감염 때 후유증 크더라"" 중국 감염자들 조사해보니 ",http://v.daum.net/v/20241128143004288
15, 코로나19보다 어려워…고용보험 가입자 18.9만명 증가 ,http://v.daum.net/v/20241209120312109
16," 고령층 465만명 코로나19 백신 접종…""고위험군 매년 접종해야"" ",http://v.daum.net/v/20241204104212554
17," “코로나 19 백신, 독감만큼 접종하면 입원 환자 최대 8만 명 줄어” ",http://v.daum.net/v/20241202170016542
18, 작년 출생아 기대수명 83.5세…‘코로나 여파 회복’ 증가 전환 ,http://v.daum.net/v/20241204120004065
19, [속보] 코스닥 장중 630선으로 후퇴···코로나 이후 4년 7개월 만 ,http://v.daum.net/v/20241209095143148
20," 최선규 아나 “코로나 걸려 기절, 父 사망 전화 못 받아” (동치미)[결정적장면] ",http://v.daum.net/v/20241201055750036
21," 정부, 코로나19 등 호흡기 질환 유행 대비 발열클리닉 재가동 ",http://v.daum.net/v/20241206102110780
22, 24-25절기 코로나19 백신 접종률 46% ,http://v.daum.net/v/20241205221447690
23," 독감 백신은 맞아도 코로나는 ""글쎄요"" 56%가 꼽은 기피 이유 ",http://v.daum.net/v/20241128155249927
24," 고용 불안, 코로나 때보다 심각…실업급여 신청 ‘11월 기준 역대 최고’ ",http://v.daum.net/v/20241209122006746
25," 고령층, 코로나 백신 접종률 45.2%…이상사례 신고 4분의 1 '뚝' ",http://v.daum.net/v/20241204115730981
26," ""예방접종 중요해"" 독감 54.2%…반면 코로나19는 ",http://v.daum.net/v/20241128145401753
27, 대통령실 “코로나 이후 예비비 1.5조 넘은 적 없다는 이재명 말은 거짓” ,http://v.daum.net/v/20241202200835832
28," ""병원 코로나19 검사·마스크 중단 후 병원 호흡기 감염 급증"" ",http://v.daum.net/v/20241202092149466
29," 연천군, 독감·코로나19 예방 접종 권장 ",http://v.daum.net/v/20241203130500331
